Cód. Item;Descrição;Espessura(mm);Largura(mm);Grupo de Item
464;FOLHA ALUM BOB 8079 O ESP0,008 LARG860 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;860;CONVERTER 8
465;FOLHA ALUM BOB 1235 O ESP0,008 LARG860 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
466;ALUMINIO-FOLHA BOB- 8079 O ESP0,008  LARG920 DI152,4 DEMÁX550  BRI/FOS CONVERTER 8;8;920;CONVERTER 8
467;FOLHA ALUM BOB 1235 O ESP0,008 LARG920 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
468;FOLHA ALUM BOB 8079 O ESP0,008 LARG930 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;930;CONVERTER 8
469;FOLHA ALUM BOB 1235 O ESP0,008 LARG930 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
470;FOLHA ALUM BOB 8079 O ESP0,008 LARG960 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
471;FOLHA ALUM BOB 1235 O ESP0,008 LARG960 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
472;FOLHA ALUM BOB 8079 O ESP0,008 LARG980 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;980;CONVERTER 8
473;FOLHA ALUM BOB 1235 O ESP0,008 LARG980 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
474;FOLHA ALUM BOB 8079 O ESP0,008 LARG1025 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
475;FOLHA ALUM BOB 1235 O ESP0,008 LARG1025 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
476;FOLHA ALUM BOB 8079 O ESP0,008 LARG1080 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
477;FOLHA ALUM BOB 1235 O ESP0,008 LARG1080 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
478;FOLHA ALUM BOB 8079 O ESP0,008 LARG1100 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;1100;CONVERTER 8
479;FOLHA ALUM BOB 1235 O ESP0,008 LARG1100 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
480;FOLHA ALUM BOB 8079 O ESP0,008 LARG1200 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
481;FOLHA ALUM BOB 1235 O ESP0,008 LARG1200 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
482;FOLHA ALUM BOB 8011 O ESP0,030 LARG480 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;30;480;CONVERTER 30-40
483;FOLHA ALUM BOB 8011 O ESP0,030 LARG600 DI152,4 DEMÁX550 BRILHANTE/FOSCO S/SUP SIMP LAMIN S/CLAD;30;600;CONVERTER 30-40
484;FOLHA ALUM BOB 8011 O ESP0,030 LARG470 DI152,4 DEMÁX550 BRILHANTE/FOSCO S/SUP SIMP LAMIN S/CLAD;;;CONVERTER 30-40
485;FOLHA ALUM BOB 8011 O ESP0,015 LARG350 DI152,4 DEMÁX550 BRILHANTE/FOSCO S/SUP SIMP LAM S/CLAD;15;350;CONVERTER 15
486;FOLHA ALUM BOB 8011 O ESP0,015 LARG300 DI152,4 DEMÁX550 BRILHANTE/FOSCO S/SUP SIMP LAM S/CLAD;15;300;CONVERTER 15
487;ALUMINIO-FOLHA BOB 8011 H18 ESP0,018 LARG210 DI76,2 DEMÁX450 BRI/FOS LIDROUNDPLATES 18;18;210;LIDROUNDPLATES 18
488;ALUMINIO-FOLHA BOB 8011 H18 ESP0,018 LARG392 DI76,2 DEMÁX450 BRI/FOS LIDROUNDPLATES 18;18;392;LIDROUNDPLATES 18
489;ALUMINIO-FOLHA BOB 8011 H18 ESP0,020 LARG580 DI152,4 DEMÁX550 BRI/FOS LIDROUNDPLATES 20;20;580;LIDROUNDPLATES 20
490;ALUMINIO-FOLHA BOB 8011 H18 ESP0,020 LARG270 DI152,4 DEMÁX550 BRI/FOS STOVENTOP PROT 20-25;20;270;STOVENTOP PROT 20-25
491;FOLHA ALUM BOB 8011 H18 ESP0,025 LARG270 DI152,4 DEMÁX550 BRILHANTE/FOSCO S/SUP SIMP LAM S/CLAD;;;CONVERTER 20-25
492;FOLHA ALUM BOB 1200 O ESP0,050 LARG710 DI150 DEMÁX700 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 30-40
493;ALUMINIO-CHAPA BOB 8006 O ESP0,25 LARG300 DI152,4 DEMÁX850 GOLD FIN FINSTOCK GOLD >0,20;250;300;FINSTOCK GOLD >0,20
494;FOLHA ALUM BOB 8011 O ESP0,009 LARG450 DI152,4 DEMÁX450 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;9;450;HHF 9
495;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG80 DI76,2 DEMÁX210 ACABBRILHANTE/FOSCO LACVT;8;80;INATIVOS CONVERTER 8
496;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG80 DI76,2 DEMÁX160 ACABBRILHANTE/FOSCO LACVT;8;80;INATIVOS CONVERTER 8
497;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG90 DI76,2 DEMÁX160 ACABBRILHANTE/FOSCO LACVT;8;90;INATIVOS CONVERTER 8
498;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG90 DI76,2 DEMÁX210 ACABBRILHANTE/FOSCO LACVT;8;90;INATIVOS CONVERTER 8
499;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG100 DI76,2 DEMÁX210 ACABBRILHANTE/FOSCO LACVT;8;100;INATIVOS CONVERTER 8
500;ALUMINIO-FOLHA BOB 8011 H18 ESP0,020 LARG395 DI76,2 DEMÁX450 BRI/FOS LIDROUNDPLATES 20;20;395;LIDROUNDPLATES 20
501;FOLHA ALUM BOB 8079 O ESP0,008 LARG690 DI152,4 DEMÁX540 LACVT;8;690;CONVERTER 8
502;CHAPA ALUM BOB 3003 H14 SGALAVDMD ESP1,5 LARG1500 COMP3000 - BRILHANTE/FOSCO LATRP;;;TRANSPORTATION >0,2
503;CHAPA ALUM BOB 3003 H114 SGALAVDMD ESP2,2 LARG1500 COMP3000 - BRILHANTE/FOSCO LATRP;;;TRANSPORTATION >0,2
504;ALUMINIO-FOLHA BOB 3104 H19 ESP0,15 LARG12,5 DI400 DEMÁX1000 ACABAMENTO NATURAL CONSTRUCTION 12,5;150;12,5;CONSTRUCTION 12,5
505;ALUMINIO-FOLHA BOB 3104 H19 ESP0,15 LARG16,0 DI400 DEMÁX1000 ACABAMENTO NATURAL CONSTRUCTION 16-25;150;16;CONSTRUCTION 16-25
506;ALUMINIO-FOLHA BOB 3104 H19 ESP0,15 LARG25,0 DI400 DEMÁX1000 ACABAMENTO NATURAL CONSTRUCTION 16-25;150;25;CONSTRUCTION 16-25
507;FOLHA ALUM BOB 3104 H19 ESP0,18 LARG16,0 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;18;16;CONSTRUCTION 16-25
508;FOLHA ALUM BOB 3104 H19 ESP0,18 LARG25,0 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;18;25;CONSTRUCTION 16-25
509;FOLHA ALUM BOB 8011 O ESP0,038 LARG480 DI152,4 DEMÁX550 BRILHANTE/FOSCO S/SUP SIMP LAMIN S/CLAD;;;CONVERTER 30-40
510;FOLHA ALUM BOB 8011 O ESP0,035 LARG450 DI152,4 DEMÁX550 BRILHANTE/FOSCO S/SUP SIMP LAMIN S/CLAD;35;450;CONVERTER 30-40
511;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,020 LARG395 DI152,4 DEMÁX540 BRILHANTE/FOSCO LATMP;;;LIDROUNDPLATES 20
512;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG683 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;683;FOODCONTAINER 30
513;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG700 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;700;FOODCONTAINER 30
514;ALUMINIO-FOLHA  BOB 8011 O ESP0,15 LARG292 DI76,2 DEMÁX500 GOLD FIN FINSTOCK GOLD <0,20;150;292;FINSTOCK GOLD <0,20
515;ALUMINIO-FOLHA  BOB 8011 O ESP0,15 LARG248 DI76,2 DEMÁX500 GOLD FIN FINSTOCK GOLD <0,20;150;248;FINSTOCK GOLD <0,20
516;FOLHA ALUM BOB 8079 O ESP0,00635 LARG560 DI152,4 DEMÁX540 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;6,35;560;CONVERTER 6,30-6,35
517;FOLHA ALUM BOB 8079 O ESP0,00635 LARG710 DI152,4 DEMÁX540 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 6,30-6,35
518;FOLHA ALUM BOB 8079 O ESP0,00635 LARG810 DI152,4 DEMÁX540 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;6,35;810;CONVERTER 6,30-6,35
519;FOLHA ALUM BOB 8079 O ESP0,00635 LARG850 DI152,4 DEMÁX540 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 6,30-6,35
520;FOLHA ALUM BOB 8011 O ESP0,009 LARG300 DI152,4 DEMÁX700 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;9;300;HHF 9
521;FOLHA ALUM BOB 8079 O ESP0,008 LARG835 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
522;FOLHA ALUM BOB 8011 O ESP0,018 LARG450 DI76,2 DEMÁX450 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;18;450;HHF 18
523;FOLHA ALUM BOB 8079 O ESP0,008 LARG615 DI152,4 DEMÁX540 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
524;ALUMINIO-FOLHA BOB-8011O ESP0,100 LARG400 DI76,2 DEMÁX380 BRI/BRI CONVERTER 100;100;400;CONVERTER 100
525;ALUMINIO-FOLHA BOB 3104 H19 ESP0,15 LARG16,0 DI400 DEMÁX850 ACABAMENTO NATURAL CONSTRUCTION 16-25;150;16;CONSTRUCTION 16-25
526;ALUMINIO-FOLHA BOB-3003H24 ESP0,046 LARG870 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;46;870;FOODCONTAINER 40-55
527;FOLHA ALUM BOB 8011 O ESP0,008 LARG300 DI76,2 DEMÁX450 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;300;HHF 8
528;FOLHA ALUM BOB 8011 O ESP0,008 LARG450 DI76,2 DEMÁX450 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;450;HHF 8
529;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,032 LARG783 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 32;32;783;FOODCONTAINER 32
530;ALUMINIO-FOLHA  BOB- 3003 O ESP0,032 LARG783 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 32;32;783;FOODCONTAINER 32
531;FOLHA ALUM BOB 8079 O ESP0,00635 LARG1200 DI152,4 DEMÁX550 S/ SUPORTE SIMPLESMENTE LAMINADA S/ CLAD;6,35;1200;CONVERTER 6,30-6,35
532;FOLHA ALUM BOB 8079 O ESP0,00635 LARG450 DI152,4 DEMÁX550 S/ SUPORTE SIMPLESMENTE LAMINADA S/ CLAD;6,35;450;CONVERTER 6,30-6,35
533;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,040 LARG150 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LACVT;40;150;CONVERTER 30-40
534;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG950 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;950;FOODCONTAINER 30
535;CHAPA ALUM FOR 3003 H116 SGALAVDMD ESP2,2 LARG1500 COMP3000 - BRILHANTE/FOSCO LATRP;2200;1500;TRANSPORTATION >0,2
536;CHAPA ALUM FOR 3003 H116 SGALAVDMD ESP1,5 LARG1500 COMP3000 - BRILHANTE/FOSCO LATRP;;;TRANSPORTATION >0,2
537;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,033 LARG783 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 32;33;783;FOODCONTAINER 32
538;CHAPA ALUM FOR 5086 O CFPPLN ESP9,5 LARG1500 COMP3000 - LISO LATRP;9500;1500;TRANSPORTATION >0,2
539;ARAME ALUM BOB 5183 DIA1,2 BRILHANTE OT DIV;;;WIR 0,8 - 1,8
540;FOLHA ALUM BOB 8011 O ESP0,030 LARG480 DI152,4 DEMÁX550 BRILHANTE/BRILHANTE LACVT;30;480;CONVERTER 30-40
541;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG618 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;618;FOODCONTAINER 40-55
542;FOLHA ALUM BOB 8011 O ESP0,035 LARG450 DI152,4 DEMÁX550 BRILHANTE/BRILHANTE S/SUP SIMP LAMIN S/CLAD;35;450;CONVERTER 30-40
543;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,040 LARG150 DI76,2 DEMÁX450 ACABBRILHANTE/BRILHANTE LACVT;40;150;CONVERTER 30-40
544;FOLHA ALUM BOB 8011 O ESP0,009 LARG300 DI152,4 DEMÁX450 BRILHANTE/FOSCO S/SUP SIMP LAMIN S/CLAD;9;300;HHF 9
545;KIT PLÁSTICO ESP38 OT DIV;;;KITPERS
546;FOLHA ALUM BOB 8011 O ESP0,009 LARG450 DI152,4 DEMÁX700 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;9;450;HHF 9
547;CHAPA ALUM BOB3003 H16 ESP0,7 LARG2600 DI505 DEMÁX760 ACABFOSCO/FOSCO LA;700;2600;TRANSPORTATION >0,2
548;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG487 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;487;FOODCONTAINER 30
549;FOLHA ALUM BOB 8079 O ESP0,008 LARG680 DI152,4 DEMÁX650 S/ SUPORTE SIMPLESMENTE LAMINADA S/ CLAD;8;680;CONVERTER 8
550;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG210  DI76,2 DEMÁX450  BRI/BRI FOODCONTAINER 40-55;48;210;FOODCONTAINER 40-55
551;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG270  DI76,2 DEMÁX450  BRI/BRI FOODCONTAINER 40-55;48;270;FOODCONTAINER 40-55
552;FOLHA ALUM BOB 8079 O ESP0,008 LARG900 DI152,4 DEMÁX550 Brilhante/Fosco LACVT;8;900;CONVERTER 8
553;ALUMINIO-FOLHA BOB-8011O ESP0,050 LARG520 DI152,4 DEMÁX550 BRI/BRI CONVERTER 40-50;50;520;CONVERTER 50-60
554;ARAME ALUM BOB 5356 DIA1,2 BRILHANTE OT DIV;;;WIR 0,8 - 1,8
555;ALUMINIO-FOLHA BOB-8011O ESP0,040 LARG600 DI152,4 DEMÁX550 BRI/FOS CONVERTER 40-50;40;600;CONVERTER 50-60
556;ALUMINIO-FOLHA  BOB  8011 H18 ESP0,0195 LARG943 DI152,4 DEMÁX600 BRI/FOS LIDROUNDPLATES 20;19,5;943;LIDROUNDPLATES 20
557;ALUMINIO-VARETA CAIXA-  5356 - DIA2,4  - COMP1000 - BRILHANTE ROD 1,2 - 4,0;;;ROD 1,2 - 4,0
558;FOLHA ALUM BOB 8011 O ESP0,008 LARG830 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLADLA;8;830;CONVERTER 8
559;FOLHA ALUM BOB 8011O ESP0,05 LARG600 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;50;600;CONVERTER 50-60
560;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,008 LARG850 DI152,4 DEMÁX550 ACABBRILHANTE/FOSCO LACVT;8;850;CONVERTER 8
561;ALUMINIO-FOLHA  BOB- 3003 H24  ESP0,030 LARG417 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;417;FOODCONTAINER 30
562;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,033 LARG890 DI152,4 DEMÁX700 ACABBRILHANTE/FOSCO LAIND;33;890;INDUSTRIAL 30-40
563;ALUMINIO-FOLHA BOB-8011O ESP0,040 LARG600 DI152,4 DEMÁX550 BRI/BRI CONVERTER 40-50;40;600;CONVERTER 50-60
564;FOLHA ALUM BOB 8011 O ESP0,008 LARG680 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;680;CONVERTER 8
565;ALUMINIO-FOLHA BOB-8011O ESP0,100 LARG1000 DI508 DEMÁX750 BRI/BRI CONVERTER 100;100;1000;CONVERTER 100
566;ALUMINIO-FOLHA BOB-8011O ESP0,050 LARG1000 DI152,4 DEMÁX550 BRI/BRI CONVERTER 40-50;0,05;1000;CONVERTER 50-60
567;ALUMINIO-FOLHA BOB-8011O ESP0,100 LARG1000 DI152,4 DEMÁX550 BRI/BRI CONVERTER 100;100;1000;CONVERTER 100
568;FOLHA ALUM BOB 8011 O ESP0,008 LARG860 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;860;CONVERTER 8
569;FOLHA ALUM BOB 8011 O ESP0,00635 LARG590 DI152,4 DEMÁX540 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;6,35;590;CONVERTER 6,30-6,35
570;FOLHA ALUM BOB 8011 O ESP0,00635 LARG1200 DI152,4 DEMÁX550 S/ SUPORTE SIMPLESMENTE LAMINADA S/ CLAD;6,35;1200;CONVERTER 6,30-6,35
571;ALUM FOLHA BOB  8079 O ESP0,008 LARG300 DI152,4 DEMÁX550 BRILHANTE/FOSCO HHF 8;8;300;HHF 8
572;FOLHA ALUM BOB 8011 O ESP0,008 LARG1060 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;1060;CONVERTER 8
573;FOLHA ALUM BOB 8011 O ESP0,008 LARG715 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;715;CONVERTER 8
574;FOLHA ALUM BOB 8011 O ESP0,008 LARG1025 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;1025;CONVERTER 8
575;FOLHA ALUM BOB 8011 O ESP0,008 LARG1070 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;1070;CONVERTER 8
576;FOLHA ALUM BOB 8011 O ESP0,008 LARG560 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;560;CONVERTER 8
577;FOLHA ALUM BOB 8011 O ESP0,008 LARG580 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;580;CONVERTER 8
578;FOLHA ALUM BOB 8011 O ESP0,008 LARG620 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;620;CONVERTER 8
579;FOLHA ALUM BOB 8011 O ESP0,008 LARG700 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;700;CONVERTER 8
580;FOLHA ALUM BOB 8011 O ESP0,008 LARG720 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;720;CONVERTER 8
581;FOLHA ALUM BOB 8011 O ESP0,008 LARG740 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;740;CONVERTER 8
582;FOLHA ALUM BOB 8011 O ESP0,008 LARG750 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;750;CONVERTER 8
583;FOLHA ALUM BOB 8011 O ESP0,008 LARG825 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;825;CONVERTER 8
584;FOLHA ALUM BOB 8011 O ESP0,008 LARG550 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;550;CONVERTER 8
585;FOLHA ALUM BOB 8011 O ESP0,008 LARG650 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;650;CONVERTER 8
586;FOLHA ALUM BOB 8011 O ESP0,008 LARG660 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;660;CONVERTER 8
587;FOLHA ALUM BOB 8011 O ESP0,008 LARG820 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;820;CONVERTER 8
588;ALUMINIO-FOLHA BOB-3003H24 ESP0,040 LARG335 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;40;335;FOODCONTAINER 40-55
589;FOLHA ALUM BOB 8011 O ESP0,008 LARG600 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;600;CONVERTER 8
590;FOLHA ALUM BOB 8011 O ESP0,008 LARG730 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;730;CONVERTER 8
591;FOLHA ALUM BOB 8011 O ESP0,008 LARG810 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;810;CONVERTER 8
592;FOLHA ALUM BOB 8011 O ESP0,008 LARG970 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;970;CONVERTER 8
593;FOLHA ALUM BOB 8011O ESP0,008 LARG1035 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;1035;CONVERTER 8
594;FOLHA ALUM BOB 8011O ESP0,008 LARG420 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;420;CONVERTER 8
595;FOLHA ALUM BOB 8011O ESP0,008 LARG675 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;675;CONVERTER 8
596;FOLHA ALUM BOB 8011O ESP0,008 LARG830 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;830;CONVERTER 8
597;FOLHA ALUM BOB 8011O ESP0,008 LARG990 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;990;CONVERTER 8
598;FOLHA ALUM BOB 8011O ESP0,008 LARG480 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;480;CONVERTER 8
599;FOLHA ALUM BOB 8011O ESP0,008 LARG760 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;760;CONVERTER 8
600;FOLHA ALUM BOB 8011 O ESP0,008 LARG980 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;980;CONVERTER 8
601;ALUMINIO-FOLHA  BOB  8011 O ESP0,127 LARG1200 DI76 DEMÁX700 GOLD FIN FINSTOCK GOLD <0,20;127;1200;FINSTOCK GOLD <0,20
602;FOLHA ALUM BOB 8011O ESP0,008 LARG1075 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;1075;CONVERTER 8
603;FOLHA ALUM BOB 8011O ESP0,008 LARG630 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;630;CONVERTER 8
604;FOLHA ALUM BOB 8011O ESP0,008 LARG520 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;520;CONVERTER 8
605;FOLHA ALUM BOB 8011O ESP0,008 LARG535 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;535;CONVERTER 8
606;FOLHA ALUM BOB 8011O ESP0,008 LARG690 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;690;CONVERTER 8
607;FOLHA ALUM BOB 8011O ESP0,008 LARG855 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;855;CONVERTER 8
608;FOLHA ALUM BOB 8011O ESP0,008 LARG895 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;895;CONVERTER 8
609;FOLHA ALUM BOB 8011O ESP0,008 LARG920 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;920;CONVERTER 8
610;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,030 LARG825 DI152,4 DEMÁX700 ACABBRILHANTE/FOSCO LAIND;30;825;INDUSTRIAL 30-40
611;FOLHA ALUM BOB 8011O ESP0,008 LARG930 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;930;CONVERTER 8
612;FOLHA ALUM BOB 8079 O ESP0,008 LARG535 DI152,4 DEMÁX550 BRILHANTE/FOSCO LACVT;8;535;CONVERTER 8
613;FOLHA ALUM BOB 8079 O ESP0,008 LARG90 DI76,2 DEMÁX350 BRILHANTE/FOSCO LACVT CONVERTER 8;8;90;CONVERTER 8
614;FOLHA ALUM BOB 8079 O ESP0,008 LARG100 DI76,2 DEMÁX350 BRILHANTE/FOSCO LACVT CONVERTER 8;8;90;CONVERTER 8
615;FOLHA ALUM BOB 8011 O ESP0,008 LARG870 DI152,4 DEMÁX550 BRILHANTE/FOSCO CONVERTER 8;8;870;CONVERTER 8
616;ALUMINIO-FOLHA  BOB- 8079 H18 ESP0,021 LARG856 DI152,4 DEMÁX600 BRI/FOS LIDROUNDPLATES 21;21;856;LIDROUNDPLATES 21
617;ALUMINIO-FOLHA BOB- 3004 H24 ESP0,030 LARG738 DI76,2 DEMÁX500 BRI/BRI FOODCONTAINER 30TRD;30;738;FOODCONTAINER 30 TRD
618;ALUMINIO-FOLHA BOB- 3004 H24 ESP0,033 LARG577 DI76,2 DEMÁX650  BRI/BRI FOODCONTAINER 33TRD;33;577;FOODCONTAINER 33 TRD
619;FOLHA ALUM BOB 8079 O ESP0,008 LARG855 DI152,4 DEMÁX550 BRILHANTE/FOSCO CONVERTER 8;8;855;CONVERTER 8
620;FOLHA ALUM BOB 8079 O ESP0,00635 LARG820 DI152,4 DEMÁX540 BRILHANTE/FOSCO CONVERTER 6,35;6,35;820;CONVERTER 6,30-6,35
621;FOLHA ALUM BOB 8079 O ESP0,00635 LARG830 DI152,4 DEMÁX540 BRILHANTE/FOSCO CONVERTER 6,35;6,35;830;CONVERTER 6,30-6,35
622;FOLHA ALUM BOB 8079 O ESP0,00635 LARG1220 DI152,4 DEMÁX580 BRILHANTE/FOSCO CONVERTER 6,35;6,35;1220;CONVERTER 6,30-6,35
623;FOLHA ALUM BOB 8079 O ESP0,008 LARG700 DI152,4 DEMÁX583 BRILHANTE/FOSCO CONVERTER 8;8;700;CONVERTER 8
624;FOLHA ALUM BOB 8079 O ESP0,008 LARG700 DI152,4 DEMÁX650 BRILHANTE/FOSCO CONVERTER 8;8;700;CONVERTER 8
